attendingphysician,claimid
PHY311908,1
PHY311914,1
PHY311918,2
PHY311919,1
PHY311921,2
PHY311924,30
PHY311925,1
PHY311926,1
PHY311927,1
PHY311928,1
PHY311929,1
PHY311930,1
PHY311931,1
PHY311932,2
PHY311934,1
PHY311935,4
PHY311936,1
PHY311939,1
PHY311940,11
PHY311941,1
PHY311942,2
PHY311944,2
PHY311945,1
PHY311948,1
PHY311951,2
PHY311952,1
PHY311953,1
PHY311954,1
PHY311956,1
PHY311958,1
PHY311960,1
PHY311961,4
PHY311963,1
PHY311964,15
PHY311965,10
PHY311968,10
PHY311974,31
PHY311975,1
PHY311976,1
PHY311977,1
PHY311978,2
PHY311979,1
PHY311980,10
PHY311981,2
PHY311982,2
PHY311984,2
PHY311985,30
PHY311986,2
PHY311987,2
PHY311991,3
PHY311992,1
PHY311993,1
PHY311994,2
PHY311998,21
PHY312000,13
PHY312004,2
PHY312005,1
PHY312006,8
PHY312008,2
PHY312009,5
PHY312010,2
PHY312013,7
PHY312014,4
PHY312015,4
PHY312016,1
PHY312018,279
PHY312020,1
PHY312021,1
PHY312024,1
PHY312025,1
PHY312026,1
PHY312029,1
PHY312030,3
PHY312031,2
PHY312033,3
PHY312034,32
PHY312035,5
PHY312036,1
PHY312037,2
PHY312038,1
PHY312039,12
PHY312040,2
PHY312041,1
PHY312044,4
PHY312045,8
PHY312046,10
PHY312047,1
PHY312048,1
PHY312050,1
PHY312051,1
PHY312054,2
PHY312056,5
PHY312058,1
PHY312059,3
PHY312060,5
PHY312062,2
PHY312063,3
PHY312064,2
PHY312066,2
PHY312070,1
PHY312071,11
PHY312072,1
PHY312073,1
PHY312076,9
PHY312077,3
PHY312078,21
PHY312080,1
PHY312081,2
PHY312082,1
PHY312083,1
PHY312084,6
PHY312085,2
PHY312086,4
PHY312089,4
PHY312090,2
PHY312092,1
PHY312095,3
PHY312103,1
PHY312104,15
PHY312105,1
PHY312106,3
PHY312108,14
PHY312112,1
PHY312113,1
PHY312115,1
PHY312116,1
PHY312117,1
PHY312119,1
PHY312120,1
PHY312122,1
PHY312124,2
PHY312126,1
PHY312128,4
PHY312129,1
PHY312130,120
PHY312132,1
PHY312133,8
PHY312135,1
PHY312136,4
PHY312137,32
PHY312139,1
PHY312140,12
PHY312143,3
PHY312145,21
PHY312147,1
PHY312148,1
PHY312149,2
PHY312151,1
PHY312152,1
PHY312153,2
PHY312156,1
PHY312157,7
PHY312158,5
PHY312159,15
PHY312161,26
PHY312162,1
PHY312163,4
PHY312164,15
PHY312165,2
PHY312166,1
PHY312167,5
PHY312168,1
PHY312171,1
PHY312172,2
PHY312173,63
PHY312175,1
PHY312176,32
PHY312177,1
PHY312178,3
PHY312180,2
PHY312181,2
PHY312187,3
PHY312189,3
PHY312192,4
PHY312193,2
PHY312194,11
PHY312199,1
PHY312200,2
PHY312201,15
PHY312203,132
PHY312205,1
PHY312206,1
PHY312209,4
PHY312210,2
PHY312211,5
PHY312213,1
PHY312214,1
PHY312215,17
PHY312216,2
PHY312217,19
PHY312218,2
PHY312219,3
PHY312221,2
PHY312223,1
PHY312225,1
PHY312226,1
PHY312228,3
PHY312230,1
PHY312231,24
PHY312232,1
PHY312234,1
PHY312235,4
PHY312236,59
PHY312237,1
PHY312238,6
PHY312239,12
PHY312240,4
PHY312242,1
PHY312243,1
PHY312245,1
PHY312246,1
PHY312247,200
PHY312248,3
PHY312249,6
PHY312250,1
PHY312254,1
PHY312255,1
PHY312257,1
PHY312258,1
PHY312260,2
PHY312263,1
PHY312266,1
PHY312270,4
PHY312271,22
PHY312272,3
PHY312273,2
PHY312274,3
PHY312275,1
PHY312276,1
PHY312278,1
PHY312279,1
PHY312281,4
PHY312284,1
PHY312285,28
PHY312289,9
PHY312292,7
PHY312293,2
PHY312295,1
PHY312298,2
PHY312299,1
PHY312302,3
PHY312303,4
PHY312304,3
PHY312306,48
PHY312307,1
PHY312308,1
PHY312310,1
PHY312311,3
PHY312313,1
PHY312314,1
PHY312316,2
PHY312318,2
PHY312319,1
PHY312321,1
PHY312322,25
PHY312324,1
PHY312325,1
PHY312327,4
PHY312329,1
PHY312330,12
PHY312331,1
PHY312332,2
PHY312333,2
PHY312334,1
PHY312336,4
PHY312338,2
PHY312339,2
PHY312340,1
PHY312341,2
PHY312342,2
PHY312343,1
PHY312345,2
PHY312346,6
PHY312347,1
PHY312348,8
PHY312349,1
PHY312350,1
PHY312351,1
PHY312352,2
PHY312354,8
PHY312355,1
PHY312357,3
PHY312358,4
PHY312359,2
PHY312360,1
PHY312361,1
PHY312364,3
PHY312366,1
PHY312367,1
PHY312368,12
PHY312369,1
PHY312371,1
PHY312372,1
PHY312373,4
PHY312374,1
PHY312375,1
PHY312377,2
PHY312378,1
PHY312379,1
PHY312380,3
PHY312383,1
PHY312384,1
PHY312385,5
PHY312386,1
PHY312388,1
PHY312390,14
PHY312392,6
PHY312395,2
PHY312400,1
PHY312402,2
PHY312404,1
PHY312405,2
PHY312406,1
PHY312407,3
PHY312410,1
PHY312411,1
PHY312413,1
PHY312414,2
PHY312416,35
PHY312417,1
PHY312420,9
PHY312421,1
PHY312422,1
PHY312423,1
PHY312424,2
PHY312425,14
PHY312426,2
PHY312428,6
PHY312430,8
PHY312431,47
PHY312432,2
PHY312433,3
PHY312434,3
PHY312437,76
PHY312438,1
PHY312439,100
PHY312443,1
PHY312444,26
PHY312446,1
PHY312448,1
PHY312449,6
PHY312452,1
PHY312453,2
PHY312455,1
PHY312456,2
PHY312458,1
PHY312459,16
PHY312461,1
PHY312463,7
PHY312465,2
PHY312466,3
PHY312467,1
PHY312468,1
PHY312469,3
PHY312471,4
PHY312473,5
PHY312474,2
PHY312476,1
PHY312477,2
PHY312478,1
PHY312479,103
PHY312480,3
PHY312483,1
PHY312484,7
PHY312487,1
PHY312489,3
PHY312490,2
PHY312492,1
PHY312493,1
PHY312495,43
PHY312497,2
PHY312499,1
PHY312500,1
PHY312501,3
PHY312504,3
PHY312507,1
PHY312508,4
PHY312509,1
PHY312510,1
PHY312511,1
PHY312512,1
PHY312513,10
PHY312514,8
PHY312515,6
PHY312516,1
PHY312517,1
PHY312519,5
PHY312520,5
PHY312521,2
PHY312522,7
PHY312523,1
PHY312524,8
PHY312525,1
PHY312526,1
PHY312527,1
PHY312528,2
PHY312529,25
PHY312530,1
PHY312532,1
PHY312533,2
PHY312534,2
PHY312535,1
PHY312536,3
PHY312537,1
PHY312538,3
PHY312540,1
PHY312542,1
PHY312543,1
PHY312544,1
PHY312545,4
PHY312546,1
PHY312547,48
PHY312548,6
PHY312549,1
PHY312550,1
PHY312551,2
PHY312552,1
PHY312553,3
PHY312555,70
PHY312557,1
PHY312558,1
PHY312559,1
PHY312560,3
PHY312561,2
PHY312562,1
PHY312566,1
PHY312570,1
PHY312571,13
PHY312572,1
PHY312573,22
PHY312574,1
PHY312575,1
PHY312576,6
PHY312577,2
PHY312578,2
PHY312579,11
PHY312580,1
PHY312581,31
PHY312582,2
PHY312583,2
PHY312584,1
PHY312585,5
PHY312586,2
PHY312588,2
PHY312589,1
PHY312590,1
PHY312592,2
PHY312593,4
PHY312596,5
PHY312597,4
PHY312599,3
PHY312600,13
PHY312602,1
PHY312606,2
PHY312608,2
PHY312610,1
PHY312612,3
PHY312613,2
PHY312614,1
PHY312615,1
PHY312616,1
PHY312617,25
PHY312619,1
PHY312620,1
PHY312621,2
PHY312623,1
PHY312624,11
PHY312627,1
PHY312628,1
PHY312629,1
PHY312630,2
PHY312631,7
PHY312632,1
PHY312634,4
PHY312635,1
PHY312637,2
PHY312639,2
PHY312641,1
PHY312643,2
PHY312645,3
PHY312646,2
PHY312647,3
PHY312648,41
PHY312650,1
PHY312651,1
PHY312654,1
PHY312656,1
PHY312657,1
PHY312659,12
PHY312660,2
PHY312661,2
PHY312662,1
PHY312665,8
PHY312666,2
PHY312668,3
PHY312669,1
PHY312671,1
PHY312672,6
PHY312673,1
PHY312675,1
PHY312676,85
PHY312677,6
PHY312679,1
PHY312681,19
PHY312682,2
PHY312684,1
PHY312687,1
PHY312688,3
PHY312689,2
PHY312690,1
PHY312691,1
PHY312692,1
PHY312693,6
PHY312694,4
PHY312699,3
PHY312701,3
PHY312702,1
PHY312703,1
PHY312705,1
PHY312707,3
PHY312708,5
PHY312710,2
PHY312711,1
PHY312712,1
PHY312714,3
PHY312715,14
PHY312716,3
PHY312719,1
PHY312720,1
PHY312723,3
PHY312724,2
PHY312726,1
PHY312727,38
PHY312728,1
PHY312731,4
PHY312732,2
PHY312735,3
PHY312736,13
PHY312739,5
PHY312740,9
PHY312742,1
PHY312744,1
PHY312745,1
PHY312746,2
PHY312747,2
PHY312748,1
PHY312749,2
PHY312750,1
PHY312751,1
PHY312752,1
PHY312753,1
PHY312755,2
PHY312760,4
PHY312761,1
PHY312762,2
PHY312765,2
PHY312766,5
PHY312767,9
PHY312770,3
PHY312773,2
PHY312774,3
PHY312775,2
PHY312776,2
PHY312777,1
PHY312778,1
PHY312779,2
PHY312780,158
PHY312782,17
PHY312783,1
PHY312785,2
PHY312786,6
PHY312787,1
PHY312788,1
PHY312789,2
PHY312790,1
PHY312791,1
PHY312792,2
PHY312793,5
PHY312794,3
PHY312796,11
PHY312797,2
PHY312798,1
PHY312799,1
PHY312800,1
PHY312801,1
PHY312802,1
PHY312803,2
PHY312804,1
PHY312805,3
PHY312806,1
PHY312808,1
PHY312809,1
PHY312810,2
PHY312811,3
PHY312812,3
PHY312813,23
PHY312815,1
PHY312817,15
PHY312818,1
PHY312820,3
PHY312822,3
PHY312824,1
PHY312825,1
PHY312826,1
PHY312827,4
PHY312829,14
PHY312830,1
PHY312831,35
PHY312832,1
PHY312833,1
PHY312834,3
PHY312835,2
PHY312837,3
PHY312838,1
PHY312839,9
PHY312840,10
PHY312841,1
PHY312842,17
PHY312844,1
PHY312845,1
PHY312846,1
PHY312847,2
PHY312849,2
PHY312851,5
PHY312852,2
PHY312854,2
PHY312855,2
PHY312856,13
PHY312859,21
PHY312860,1
PHY312861,23
PHY312863,4
PHY312866,1
PHY312870,1
PHY312873,3
PHY312875,2
PHY312877,10
PHY312879,1
PHY312880,2
PHY312881,1
PHY312882,1
PHY312883,8
PHY312884,1
PHY312885,1
PHY312887,1
PHY312888,9
PHY312889,1
PHY312890,6
PHY312891,1
PHY312893,2
PHY312895,3
PHY312896,2
PHY312897,39
PHY312898,16
PHY312899,4
PHY312903,8
PHY312904,5
PHY312905,2
PHY312906,3
PHY312911,2
PHY312913,4
PHY312914,4
PHY312915,1
PHY312916,3
PHY312918,3
PHY312920,2
PHY312921,1
PHY312922,1
PHY312924,10
PHY312925,4
PHY312926,1
PHY312930,1
PHY312931,1
PHY312932,1
PHY312933,1
PHY312934,1
PHY312936,3
PHY312937,3
PHY312938,8
PHY312939,2
PHY312940,3
PHY312941,2
PHY312942,1
PHY312943,1
PHY312944,1
PHY312946,2
PHY312947,4
PHY312948,1
PHY312951,1
PHY312953,1
PHY312954,2
PHY312955,1
PHY312956,3
PHY312958,76
PHY312959,1
PHY312960,3
PHY312961,1
PHY312962,1
PHY312963,11
PHY312965,1
PHY312968,1
PHY312969,1
PHY312971,1
PHY312973,4
PHY312974,1
PHY312975,5
PHY312976,14
PHY312977,4
PHY312978,1
PHY312979,2
PHY312980,3
PHY312981,1
PHY312982,2
PHY312983,2
PHY312984,1
PHY312986,1
PHY312987,4
PHY312988,1
PHY312990,1
PHY312992,1
PHY312994,1
PHY312995,2
PHY312998,1
PHY312999,2
PHY313000,4
PHY313002,3
PHY313004,1
PHY313005,3
PHY313007,1
PHY313008,22
PHY313009,1
PHY313012,1
PHY313013,2
PHY313014,4
PHY313015,1
PHY313016,2
PHY313018,1
PHY313019,1
PHY313020,1
PHY313021,1
PHY313022,1
PHY313025,1
PHY313027,2
PHY313028,39
PHY313031,1
PHY313032,1
PHY313034,1
PHY313035,2
PHY313038,1
PHY313039,1
PHY313043,2
PHY313046,1
PHY313048,1
PHY313049,1
PHY313050,5
PHY313052,2
PHY313053,1
PHY313054,2
PHY313055,1
PHY313057,1
PHY313058,20
PHY313060,1
PHY313061,1
PHY313062,3
PHY313063,18
PHY313064,1
PHY313068,5
PHY313072,3
PHY313073,1
PHY313074,1
PHY313075,2
PHY313076,1
PHY313077,1
PHY313078,1
PHY313079,1
PHY313080,5
PHY313081,4
PHY313082,1
PHY313083,1
PHY313084,17
PHY313085,3
PHY313086,8
PHY313087,16
PHY313088,3
PHY313089,1
PHY313093,1
PHY313094,1
PHY313095,3
PHY313096,2
PHY313098,4
PHY313099,1
PHY313100,1
PHY313102,2
PHY313103,13
PHY313106,1
PHY313107,2
PHY313108,1
PHY313112,1
PHY313116,1
PHY313117,4
PHY313118,1
PHY313119,1
PHY313120,1
PHY313121,2
PHY313122,1
PHY313123,6
PHY313124,1
PHY313125,3
PHY313126,1
PHY313127,97
PHY313129,1
PHY313131,4
PHY313132,1
PHY313134,3
PHY313136,3
PHY313137,9
PHY313140,1
PHY313141,3
PHY313142,2
PHY313143,1
PHY313144,1
PHY313145,6
PHY313146,1
PHY313147,12
PHY313148,1
PHY313155,3
PHY313156,1
PHY313157,1
PHY313158,12
PHY313160,1
PHY313161,5
PHY313165,1
PHY313167,1
PHY313168,1
PHY313169,1
PHY313170,2
PHY313171,2
PHY313173,4
PHY313175,1
PHY313176,1
PHY313177,3
PHY313178,7
PHY313180,4
PHY313181,2
PHY313183,4
PHY313186,1
PHY313188,1
PHY313189,3
PHY313190,1
PHY313191,32
PHY313192,21
PHY313193,1
PHY313195,1
PHY313196,1
PHY313198,2
PHY313199,3
PHY313200,3
PHY313202,13
PHY313203,1
PHY313204,4
PHY313205,1
PHY313207,1
PHY313209,1
PHY313210,3
PHY313213,2
PHY313214,13
PHY313217,2
PHY313220,1
PHY313222,1
PHY313224,1
PHY313225,4
PHY313226,1
PHY313227,1
PHY313229,1
PHY313230,3
PHY313233,2
PHY313234,8
PHY313235,1
PHY313237,4
PHY313238,3
PHY313241,1
PHY313243,1
PHY313244,1
PHY313245,1
PHY313246,1
PHY313247,1
PHY313248,3
PHY313249,2
PHY313250,3
PHY313251,4
PHY313254,2
PHY313256,1
PHY313257,12
PHY313260,4
PHY313261,1
PHY313262,1
PHY313264,1
PHY313265,1
PHY313266,22
PHY313267,69
PHY313268,2
PHY313270,2
PHY313271,1
PHY313272,1
PHY313275,3
PHY313276,1
PHY313277,1
PHY313278,674
PHY313282,1
PHY313283,1
PHY313286,4
PHY313287,2
PHY313288,2
PHY313289,5
PHY313290,2
PHY313291,2
PHY313292,1
PHY313293,1
PHY313295,1
PHY313296,3
PHY313299,1
PHY313301,3
PHY313302,18
PHY313304,2
PHY313305,2
PHY313307,1
PHY313308,1
PHY313309,2
PHY313310,3
PHY313312,2
PHY313313,1
PHY313315,3
PHY313317,3
PHY313318,2
PHY313319,5
PHY313320,1
PHY313321,2
PHY313322,46
PHY313323,23
PHY313324,1
PHY313326,1
PHY313327,1
PHY313328,1
PHY313329,1
PHY313330,1
PHY313331,1
PHY313332,3
PHY313333,2
PHY313334,1
PHY313335,5
PHY313336,13
PHY313337,1
PHY313339,1
PHY313341,35
PHY313342,4
PHY313343,2
PHY313344,4
PHY313345,3
PHY313346,1
PHY313347,2
PHY313348,1
PHY313350,8
PHY313351,1
PHY313353,3
PHY313354,1
PHY313355,6
PHY313357,2
PHY313358,1
PHY313360,3
PHY313361,1
PHY313363,1
PHY313364,1
PHY313366,12
PHY313367,2
PHY313368,1
PHY313370,1
PHY313371,2
PHY313373,1
PHY313374,4
PHY313376,18
PHY313377,1
PHY313378,2
PHY313380,2
PHY313381,1
PHY313382,2
PHY313383,4
PHY313385,1
PHY313388,1
PHY313390,1
PHY313391,2
PHY313394,4
PHY313396,11
PHY313399,1
PHY313401,6
PHY313402,2
PHY313404,2
PHY313406,3
PHY313407,4
PHY313408,14
PHY313409,2
PHY313410,1
PHY313414,1
PHY313415,14
PHY313416,5
PHY313417,3
PHY313418,2
PHY313422,28
PHY313423,3
PHY313424,2
PHY313425,1
PHY313426,3
PHY313427,42
PHY313428,1
PHY313430,2
PHY313432,1
PHY313433,47
PHY313434,9
PHY313436,2
PHY313437,1
PHY313438,1
PHY313441,1
PHY313442,3
PHY313443,1
PHY313444,2
PHY313445,2
PHY313446,2
PHY313447,2
PHY313448,4
PHY313449,1
PHY313450,1
PHY313452,4
PHY313453,8
PHY313454,1
PHY313455,2
PHY313458,53
PHY313460,1
PHY313462,2
PHY313463,1
PHY313464,1
PHY313465,1
PHY313469,2
PHY313470,1
PHY313473,1
PHY313474,1
PHY313476,5
PHY313477,4
PHY313478,3
PHY313479,11
PHY313480,1
PHY313481,1
PHY313482,17
PHY313483,2
PHY313484,15
PHY313485,6
PHY313488,6
PHY313490,2
PHY313491,2
PHY313492,10
PHY313493,5
PHY313496,2
PHY313497,1
PHY313499,2
PHY313501,3
PHY313502,1
PHY313503,2
PHY313504,4
PHY313507,1
PHY313508,16
PHY313510,1
PHY313513,1
PHY313515,1
PHY313516,68
PHY313517,1
PHY313519,1
PHY313521,1
PHY313522,1
PHY313523,13
PHY313524,1
PHY313525,2
PHY313527,3
PHY313528,6
PHY313529,36
PHY313532,3
PHY313534,5
PHY313537,5
PHY313540,1
PHY313541,4
PHY313542,4
PHY313543,2
PHY313545,1
PHY313547,2
PHY313548,1
PHY313551,4
PHY313553,2
PHY313558,2
PHY313559,1
PHY313562,3
PHY313563,1
PHY313564,1
PHY313565,30
PHY313567,24
PHY313568,1
PHY313570,4
PHY313571,1
PHY313572,1
PHY313573,5
PHY313574,16
PHY313575,54
PHY313576,2
PHY313579,2
PHY313580,7
PHY313583,1
PHY313585,1
PHY313586,8
PHY313587,1
PHY313589,1
PHY313590,2
PHY313592,1
PHY313593,1
PHY313594,2
PHY313597,1
PHY313599,157
PHY313602,1
PHY313604,3
PHY313605,5
PHY313606,3
PHY313607,2
PHY313608,1
PHY313609,1
PHY313611,1
PHY313612,1
PHY313613,25
PHY313614,3
PHY313615,14
PHY313616,1
PHY313617,5
PHY313618,1
PHY313619,2
PHY313620,2
PHY313622,4
PHY313623,1
PHY313625,5
PHY313626,1
PHY313627,2
PHY313628,3
PHY313630,1
PHY313631,1
PHY313632,1
PHY313633,1
PHY313636,2
PHY313637,3
PHY313639,1
PHY313640,1
PHY313641,9
PHY313643,38
PHY313644,12
PHY313645,1
PHY313646,1
PHY313647,4
PHY313648,2
PHY313649,1
PHY313651,2
PHY313652,1
PHY313653,21
PHY313654,20
PHY313655,2
PHY313657,1
PHY313660,22
