operatingphysician,claimid
PHY313650,1
PHY313651,2
PHY313653,5
PHY313654,5
PHY313657,1
PHY313660,1
PHY313662,1
PHY313672,1
PHY313674,1
PHY313678,1
PHY313680,1
PHY313681,1
PHY313682,5
PHY313683,1
PHY313688,1
PHY313692,30
PHY313693,2
PHY313697,4
PHY313702,1
PHY313704,4
PHY313705,77
PHY313706,1
PHY313708,1
PHY313712,2
PHY313714,1
PHY313720,10
PHY313727,9
PHY313733,1
PHY313736,1
PHY313738,9
PHY313742,1
PHY313743,1
PHY313744,1
PHY313747,2
PHY313751,6
PHY313756,5
PHY313758,2
PHY313759,1
PHY313761,1
PHY313762,2
PHY313775,1
PHY313776,3
PHY313778,15
PHY313782,1
PHY313784,1
PHY313786,1
PHY313791,1
PHY313795,1
PHY313796,2
PHY313799,6
PHY313800,5
PHY313803,1
PHY313804,1
PHY313805,2
PHY313807,1
PHY313808,2
PHY313809,3
PHY313813,3
PHY313814,1
PHY313818,47
PHY313819,9
PHY313827,13
PHY313842,1
PHY313844,1
PHY313848,1
PHY313850,11
PHY313859,1
PHY313861,3
PHY313863,3
PHY313869,2
PHY313871,1
PHY313875,1
PHY313876,1
PHY313877,23
PHY313879,3
PHY313881,2
PHY313883,2
PHY313886,1
PHY313889,1
PHY313892,1
PHY313896,1
PHY313900,1
PHY313910,1
PHY313911,5
PHY313916,6
PHY313917,1
PHY313920,3
PHY313923,1
PHY313928,1
PHY313930,4
PHY313933,3
PHY313934,1
PHY313935,1
PHY313947,1
PHY313953,1
PHY313959,1
PHY313960,2
PHY313963,2
PHY313965,1
PHY313969,2
PHY313976,1
PHY313978,1
PHY313980,1
PHY313982,1
PHY313985,2
PHY313988,1
PHY313995,2
PHY314000,2
PHY314001,1
PHY314004,1
PHY314011,1
PHY314019,1
PHY314020,1
PHY314022,3
PHY314024,1
PHY314027,256
PHY314028,2
PHY314034,1
PHY314039,1
PHY314041,1
PHY314044,1
PHY314048,1
PHY314056,1
PHY314060,1
PHY314062,1
PHY314066,1
PHY314069,1
PHY314073,1
PHY314085,1
PHY314090,1
PHY314091,1
PHY314103,10
PHY314109,1
PHY314111,5
PHY314112,1
PHY314119,1
PHY314122,1
PHY314123,3
PHY314126,1
PHY314142,6
PHY314145,1
PHY314146,1
PHY314150,1
PHY314154,1
PHY314156,1
PHY314158,1
PHY314162,1
PHY314166,1
PHY314168,7
PHY314170,1
PHY314171,1
PHY314173,1
PHY314187,1
PHY314190,1
PHY314198,1
PHY314202,1
PHY314206,5
PHY314209,1
PHY314213,1
PHY314216,1
PHY314219,2
PHY314220,1
PHY314221,1
PHY314231,2
PHY314232,1
PHY314236,4
PHY314237,1
PHY314239,5
PHY314240,1
PHY314242,1
PHY314244,1
PHY314248,14
PHY314249,1
PHY314252,1
PHY314254,3
PHY314256,1
PHY314259,1
PHY314263,16
PHY314264,1
PHY314268,1
PHY314269,1
PHY314272,2
PHY314276,3
PHY314289,1
PHY314290,5
PHY314291,1
PHY314298,1
PHY314299,1
PHY314300,1
PHY314306,1
PHY314307,3
PHY314308,5
PHY314312,1
PHY314314,1
PHY314318,1
PHY314320,15
PHY314329,2
PHY314339,1
PHY314344,1
PHY314347,1
PHY314348,1
PHY314353,1
PHY314354,5
PHY314356,1
PHY314360,1
PHY314367,3
PHY314370,1
PHY314377,1
PHY314378,7
PHY314379,1
PHY314394,1
PHY314395,1
PHY314396,1
PHY314404,1
PHY314407,1
PHY314408,18
PHY314410,109
PHY314411,1
PHY314412,1
PHY314416,2
PHY314417,6
PHY314419,3
PHY314420,2
PHY314423,4
PHY314425,14
PHY314432,1
PHY314444,2
PHY314445,3
PHY314451,2
PHY314469,1
PHY314471,1
PHY314476,1
PHY314478,1
PHY314479,1
PHY314482,15
PHY314487,1
PHY314489,1
PHY314491,1
PHY314496,2
PHY314497,1
PHY314499,1
PHY314505,1
PHY314507,4
PHY314510,1
PHY314527,4
PHY314528,8
PHY314529,1
PHY314545,3
PHY314546,15
PHY314548,1
PHY314550,3
PHY314551,1
PHY314555,1
PHY314557,1
PHY314559,1
PHY314563,4
PHY314577,1
PHY314582,1
PHY314587,37
PHY314588,1
PHY314594,1
PHY314595,1
PHY314596,1
PHY314598,1
PHY314602,1
PHY314605,1
PHY314610,27
PHY314614,8
PHY314615,2
PHY314616,2
PHY314617,2
PHY314621,2
PHY314622,1
PHY314625,2
PHY314630,1
PHY314634,2
PHY314635,1
PHY314637,1
PHY314647,3
PHY314648,1
PHY314650,2
PHY314651,11
PHY314653,4
PHY314655,1
PHY314657,2
PHY314661,1
PHY314664,3
PHY314666,6
PHY314680,1
PHY314682,5
PHY314683,3
PHY314684,1
PHY314685,2
PHY314687,7
PHY314688,3
PHY314690,9
PHY314691,1
PHY314695,1
PHY314698,1
PHY314699,7
PHY314704,2
PHY314705,1
PHY314707,1
PHY314714,8
PHY314715,1
PHY314716,1
PHY314724,1
PHY314729,1
PHY314734,1
PHY314738,1
PHY314739,8
PHY314740,2
PHY314741,1
PHY314746,1
PHY314752,1
PHY314753,1
PHY314754,1
PHY314756,1
PHY314762,1
PHY314770,1
PHY314771,1
PHY314773,7
PHY314774,1
PHY314778,7
PHY314788,1
PHY314789,2
PHY314793,1
PHY314795,1
PHY314796,3
PHY314797,3
PHY314805,1
PHY314806,1
PHY314812,1
PHY314815,2
PHY314820,1
PHY314823,1
PHY314824,1
PHY314829,1
PHY314830,1
PHY314837,1
PHY314843,2
PHY314844,2
PHY314847,1
PHY314849,1
PHY314851,2
PHY314867,1
PHY314870,2
PHY314872,2
PHY314880,9
PHY314892,1
PHY314895,4
PHY314899,1
PHY314900,2
PHY314908,2
PHY314910,1
PHY314911,1
PHY314913,1
PHY314914,3
PHY314917,1
PHY314920,1
PHY314921,11
PHY314923,1
PHY314925,1
PHY314929,1
PHY314932,2
PHY314934,2
PHY314935,1
PHY314936,3
PHY314939,2
PHY314941,3
PHY314948,2
PHY314957,1
PHY314963,20
PHY314967,1
PHY314968,1
PHY314970,1
PHY314971,6
PHY314980,1
PHY314982,12
PHY314985,4
PHY314988,1
PHY314993,3
PHY314994,5
PHY314998,1
PHY315000,1
PHY315004,1
PHY315005,2
PHY315006,2
PHY315008,1
PHY315015,1
PHY315028,2
PHY315030,1
PHY315031,1
PHY315036,5
PHY315045,1
PHY315046,4
PHY315047,1
PHY315052,1
PHY315053,1
PHY315055,1
PHY315058,4
PHY315060,2
PHY315063,1
PHY315065,2
PHY315066,1
PHY315067,1
PHY315076,12
PHY315077,2
PHY315082,2
PHY315083,7
PHY315088,1
PHY315090,2
PHY315102,1
PHY315110,1
PHY315113,1
PHY315128,1
PHY315131,1
PHY315132,1
PHY315133,1
PHY315135,2
PHY315138,1
PHY315139,1
PHY315142,2
PHY315143,6
PHY315146,1
PHY315147,2
PHY315148,1
PHY315149,2
PHY315155,1
PHY315156,1
PHY315160,1
PHY315161,1
PHY315162,1
PHY315164,1
PHY315170,1
PHY315173,2
PHY315179,3
PHY315180,4
PHY315183,7
PHY315184,1
PHY315186,2
PHY315187,2
PHY315189,1
PHY315192,2
PHY315195,1
PHY315199,1
PHY315202,3
PHY315209,1
PHY315211,3
PHY315213,1
PHY315218,2
PHY315219,1
PHY315222,1
PHY315223,1
PHY315229,1
PHY315230,1
PHY315233,3
PHY315237,1
PHY315238,2
PHY315240,1
PHY315243,4
PHY315246,1
PHY315258,1
PHY315263,1
PHY315266,1
PHY315272,2
PHY315273,1
PHY315275,1
PHY315277,2
PHY315282,1
PHY315283,1
PHY315290,3
PHY315291,1
PHY315293,2
PHY315295,41
PHY315296,2
PHY315310,5
PHY315311,1
PHY315321,1
PHY315344,47
PHY315348,11
PHY315352,6
PHY315353,1
PHY315356,3
PHY315358,95
PHY315367,3
PHY315371,7
PHY315374,1
PHY315386,1
PHY315387,1
PHY315391,1
PHY315395,1
PHY315400,18
PHY315402,1
PHY315406,3
PHY315407,1
PHY315408,1
PHY315412,1
PHY315413,2
PHY315416,2
PHY315417,1
PHY315422,1
PHY315424,36
PHY315425,1
PHY315428,6
PHY315429,1
PHY315430,2
PHY315432,1
PHY315435,4
PHY315436,18
PHY315437,1
PHY315440,2
PHY315442,3
PHY315449,1
PHY315460,1
PHY315465,3
PHY315468,4
PHY315482,1
PHY315489,2
PHY315492,1
PHY315499,2
PHY315501,1
PHY315508,3
PHY315511,2
PHY315514,1
PHY315517,1
PHY315521,1
PHY315526,1
PHY315530,1
PHY315531,2
PHY315532,1
PHY315534,6
PHY315535,1
PHY315539,1
PHY315547,1
PHY315549,2
PHY315550,1
PHY315551,1
PHY315560,1
PHY315571,1
PHY315575,5
PHY315576,7
PHY315577,1
PHY315578,1
PHY315579,1
PHY315585,1
PHY315586,1
PHY315587,2
PHY315590,1
PHY315592,1
PHY315593,1
PHY315595,3
PHY315603,2
PHY315607,4
PHY315611,1
PHY315612,1
PHY315619,1
PHY315621,25
PHY315623,1
PHY315625,5
PHY315630,2
PHY315632,1
PHY315636,1
PHY315638,2
PHY315648,1
PHY315650,3
PHY315658,8
PHY315665,1
PHY315666,1
PHY315670,1
PHY315674,3
PHY315678,1
PHY315682,6
PHY315686,1
PHY315687,9
PHY315689,2
PHY315690,1
PHY315692,19
PHY315693,1
PHY315694,1
PHY315695,1
PHY315702,7
PHY315703,9
PHY315704,1
PHY315714,1
PHY315715,14
PHY315732,2
PHY315735,5
PHY315736,1
PHY315739,10
PHY315741,1
PHY315742,2
PHY315745,1
PHY315756,1
PHY315757,1
PHY315758,1
PHY315768,2
PHY315770,4
PHY315775,1
PHY315778,4
PHY315779,1
PHY315791,1
PHY315794,2
PHY315796,2
PHY315799,1
PHY315803,1
PHY315806,3
PHY315807,23
PHY315808,2
PHY315811,2
PHY315812,3
PHY315813,2
PHY315814,1
PHY315816,1
PHY315820,7
PHY315825,4
PHY315831,2
PHY315832,2
PHY315839,1
PHY315840,1
PHY315846,1
PHY315849,1
PHY315850,1
PHY315861,2
PHY315862,1
PHY315867,1
PHY315874,1
PHY315876,1
PHY315879,1
PHY315884,1
PHY315888,1
PHY315889,2
PHY315892,8
PHY315894,2
PHY315899,1
PHY315902,1
PHY315904,1
PHY315912,2
PHY315913,1
PHY315915,3
PHY315920,1
PHY315922,3
PHY315924,1
PHY315929,1
PHY315931,11
PHY315936,2
PHY315940,2
PHY315942,2
PHY315943,1
PHY315949,5
PHY315955,1
PHY315957,1
PHY315958,1
PHY315959,2
PHY315963,1
PHY315964,19
PHY315965,1
PHY315968,1
PHY315973,2
PHY315978,1
PHY315982,1
PHY315983,9
PHY315986,1
PHY315988,1
PHY315991,1
PHY315994,3
PHY316002,2
PHY316004,1
PHY316006,2
PHY316008,1
PHY316011,1
PHY316012,1
PHY316014,2
PHY316020,1
PHY316021,1
PHY316022,2
PHY316024,1
PHY316025,1
PHY316027,5
PHY316028,22
PHY316030,1
PHY316033,1
PHY316036,3
PHY316039,3
PHY316041,11
PHY316050,1
PHY316057,2
PHY316065,1
PHY316066,2
PHY316067,4
PHY316072,1
PHY316077,3
PHY316080,1
PHY316081,1
PHY316083,1
PHY316094,2
PHY316097,1
PHY316098,1
PHY316099,14
PHY316101,1
PHY316107,1
PHY316111,1
PHY316116,1
PHY316118,4
PHY316121,1
PHY316126,1
PHY316127,1
PHY316131,1
PHY316133,14
PHY316135,1
PHY316138,2
PHY316140,1
PHY316147,1
PHY316156,3
PHY316164,1
PHY316169,1
PHY316172,1
PHY316173,17
PHY316174,1
PHY316178,1
PHY316179,1
PHY316187,22
PHY316188,8
PHY316191,1
PHY316193,1
PHY316195,1
PHY316199,1
PHY316200,3
PHY316204,1
PHY316212,3
PHY316214,1
PHY316221,1
PHY316222,1
PHY316223,6
PHY316230,1
PHY316234,3
PHY316237,15
PHY316241,1
PHY316242,1
PHY316243,2
PHY316244,19
PHY316245,1
PHY316246,5
PHY316248,1
PHY316252,9
PHY316254,2
PHY316255,2
PHY316257,1
PHY316259,1
PHY316263,2
PHY316266,1
PHY316268,1
PHY316270,2
PHY316277,1
PHY316283,1
PHY316284,1
PHY316285,5
PHY316287,2
PHY316293,1
PHY316296,3
PHY316304,2
PHY316308,3
PHY316311,1
PHY316313,3
PHY316322,1
PHY316329,27
PHY316331,4
PHY316333,2
PHY316335,1
PHY316338,2
PHY316342,1
PHY316345,1
PHY316353,3
PHY316365,2
PHY316371,1
PHY316372,2
PHY316373,1
PHY316374,1
PHY316379,1
PHY316380,1
PHY316382,1
PHY316388,4
PHY316391,1
PHY316393,6
PHY316399,1
PHY316400,1
PHY316408,2
PHY316409,1
PHY316412,1
PHY316416,2
PHY316419,1
PHY316424,1
PHY316430,1
PHY316438,7
PHY316440,2
PHY316442,2
PHY316444,3
PHY316445,4
PHY316451,1
PHY316452,2
PHY316455,2
PHY316458,10
PHY316461,1
PHY316462,4
PHY316465,1
PHY316473,1
PHY316474,12
PHY316475,2
PHY316477,1
PHY316478,1
PHY316480,1
PHY316483,1
PHY316485,2
PHY316493,1
PHY316497,1
PHY316500,3
PHY316502,1
PHY316503,8
PHY316505,1
PHY316506,1
PHY316507,2
PHY316514,1
PHY316523,1
PHY316527,5
PHY316531,1
PHY316534,1
PHY316535,1
PHY316536,1
PHY316539,1
PHY316545,1
PHY316554,3
PHY316564,1
PHY316571,2
PHY316583,1
PHY316589,2
PHY316591,1
PHY316599,1
PHY316601,1
PHY316606,2
PHY316607,1
PHY316610,24
PHY316611,4
PHY316614,2
PHY316616,1
PHY316619,1
PHY316620,1
PHY316622,1
PHY316623,1
PHY316628,3
PHY316631,4
PHY316632,1
PHY316635,1
PHY316643,3
PHY316646,1
PHY316654,3
PHY316657,7
PHY316662,1
PHY316663,2
PHY316665,1
PHY316667,1
PHY316668,6
PHY316669,1
PHY316670,1
PHY316674,1
PHY316687,2
PHY316689,1
PHY316692,6
PHY316693,1
PHY316696,1
PHY316703,1
PHY316705,3
PHY316707,3
PHY316709,2
PHY316710,1
PHY316716,1
PHY316718,9
PHY316719,1
PHY316721,1
PHY316722,3
PHY316724,1
PHY316728,3
PHY316730,1
PHY316731,1
PHY316732,1
PHY316734,1
PHY316737,1
PHY316740,1
PHY316741,1
PHY316748,1
PHY316756,1
PHY316763,2
PHY316764,2
PHY316765,3
PHY316768,1
PHY316769,1
PHY316770,9
PHY316773,4
PHY316774,1
PHY316776,1
PHY316780,3
PHY316782,1
PHY316783,1
PHY316786,1
PHY316788,1
PHY316790,1
PHY316795,2
PHY316798,10
PHY316800,2
PHY316801,1
PHY316803,10
PHY316811,1
PHY316812,1
PHY316815,1
PHY316816,1
PHY316819,1
PHY316824,1
PHY316834,2
PHY316835,3
PHY316837,2
PHY316852,1
PHY316853,1
PHY316855,1
PHY316859,1
PHY316862,1
PHY316870,1
PHY316885,10
PHY316887,2
PHY316890,1
PHY316891,1
PHY316893,1
PHY316896,2
PHY316900,1
PHY316901,2
PHY316904,1
PHY316907,1
PHY316911,1
PHY316913,1
PHY316917,7
PHY316919,2
PHY316927,1
PHY316937,2
PHY316939,2
PHY316941,1
PHY316947,1
PHY316948,2
PHY316950,20
PHY316951,1
PHY316955,1
PHY316959,4
PHY316960,1
PHY316965,1
PHY316966,1
PHY316969,1
PHY316972,4
PHY316973,1
PHY316977,1
PHY316981,5
PHY316990,2
PHY316992,2
PHY317001,1
PHY317002,1
PHY317003,1
PHY317006,2
PHY317011,1
PHY317014,1
PHY317017,1
PHY317020,1
PHY317021,1
PHY317025,15
PHY317032,4
PHY317034,1
PHY317039,2
PHY317046,9
PHY317047,2
PHY317059,15
PHY317066,1
PHY317072,1
PHY317073,1
PHY317074,1
PHY317075,1
PHY317078,7
PHY317079,3
PHY317080,1
PHY317081,1
PHY317085,1
PHY317087,1
PHY317088,4
PHY317092,6
PHY317102,2
PHY317104,1
PHY317105,6
PHY317111,1
PHY317113,2
PHY317125,4
PHY317127,10
PHY317135,1
PHY317139,3
PHY317142,13
PHY317145,4
PHY317146,1
PHY317147,3
PHY317148,6
PHY317150,3
PHY317152,5
PHY317159,1
PHY317160,2
