otherphysician,claimid
PHY312665,7
PHY312670,1
PHY312675,1
PHY312676,44
PHY312677,5
PHY312681,7
PHY312684,1
PHY312689,2
PHY312691,1
PHY312696,1
PHY312701,1
PHY312703,1
PHY312708,6
PHY312710,2
PHY312711,1
PHY312714,4
PHY312715,9
PHY312716,3
PHY312717,1
PHY312724,1
PHY312726,1
PHY312727,11
PHY312731,1
PHY312734,1
PHY312735,1
PHY312736,9
PHY312740,2
PHY312745,1
PHY312747,2
PHY312749,2
PHY312759,1
PHY312760,2
PHY312761,1
PHY312762,5
PHY312764,1
PHY312767,6
PHY312771,2
PHY312772,2
PHY312775,1
PHY312776,2
PHY312780,1
PHY312781,2
PHY312782,6
PHY312785,1
PHY312786,2
PHY312789,1
PHY312794,2
PHY312798,1
PHY312802,1
PHY312803,1
PHY312805,1
PHY312812,1
PHY312813,11
PHY312814,1
PHY312817,7
PHY312820,1
PHY312821,2
PHY312822,1
PHY312824,1
PHY312827,2
PHY312829,5
PHY312830,1
PHY312831,31
PHY312832,1
PHY312839,6
PHY312840,3
PHY312841,2
PHY312844,1
PHY312847,2
PHY312848,2
PHY312849,2
PHY312851,1
PHY312852,1
PHY312854,1
PHY312859,4
PHY312865,2
PHY312868,1
PHY312877,4
PHY312880,1
PHY312883,5
PHY312886,1
PHY312892,1
PHY312895,1
PHY312896,2
PHY312897,21
PHY312898,10
PHY312899,1
PHY312902,1
PHY312903,3
PHY312904,2
PHY312909,1
PHY312912,11
PHY312913,1
PHY312914,3
PHY312916,2
PHY312917,1
PHY312920,1
PHY312924,4
PHY312925,3
PHY312929,1
PHY312935,1
PHY312936,1
PHY312938,2
PHY312939,1
PHY312940,3
PHY312946,1
PHY312951,1
PHY312953,2
PHY312954,3
PHY312955,1
PHY312961,1
PHY312962,2
PHY312965,1
PHY312972,1
PHY312973,1
PHY312975,3
PHY312976,6
PHY312977,1
PHY312980,1
PHY312985,1
PHY312986,1
PHY312991,1
PHY312999,1
PHY313002,1
PHY313006,1
PHY313008,3
PHY313012,1
PHY313013,1
PHY313023,1
PHY313032,1
PHY313040,3
PHY313042,1
PHY313045,2
PHY313047,1
PHY313050,1
PHY313051,1
PHY313062,3
PHY313063,13
PHY313064,3
PHY313066,1
PHY313067,33
PHY313069,11
PHY313072,1
PHY313073,1
PHY313077,1
PHY313078,1
PHY313080,1
PHY313083,2
PHY313084,6
PHY313086,2
PHY313087,5
PHY313088,3
PHY313090,1
PHY313091,1
PHY313095,1
PHY313098,1
PHY313099,2
PHY313102,1
PHY313103,6
PHY313109,1
PHY313110,1
PHY313114,1
PHY313115,1
PHY313117,1
PHY313122,1
PHY313123,2
PHY313125,2
PHY313127,48
PHY313130,1
PHY313136,1
PHY313139,1
PHY313142,1
PHY313144,1
PHY313146,1
PHY313147,5
PHY313149,1
PHY313155,4
PHY313156,1
PHY313158,6
PHY313160,2
PHY313161,1
PHY313168,1
PHY313169,1
PHY313173,1
PHY313177,1
PHY313178,3
PHY313179,1
PHY313180,3
PHY313182,1
PHY313184,1
PHY313186,2
PHY313189,1
PHY313192,7
PHY313196,1
PHY313198,1
PHY313201,1
PHY313202,5
PHY313204,1
PHY313205,1
PHY313207,1
PHY313208,1
PHY313210,2
PHY313211,1
PHY313213,1
PHY313220,1
PHY313222,1
PHY313225,2
PHY313228,3
PHY313230,1
PHY313231,1
PHY313234,2
PHY313236,52
PHY313237,2
PHY313238,3
PHY313239,3
PHY313240,1
PHY313244,1
PHY313245,1
PHY313248,1
PHY313249,4
PHY313251,1
PHY313253,3
PHY313256,1
PHY313257,3
PHY313258,1
PHY313260,2
PHY313261,1
PHY313264,1
PHY313270,2
PHY313272,1
PHY313277,1
PHY313278,625
PHY313280,1
PHY313282,1
PHY313288,1
PHY313294,1
PHY313297,1
PHY313300,1
PHY313301,1
PHY313302,3
PHY313305,1
PHY313315,1
PHY313317,2
PHY313318,2
PHY313319,1
PHY313322,18
PHY313323,10
PHY313324,1
PHY313327,1
PHY313329,1
PHY313330,1
PHY313336,4
PHY313337,3
PHY313342,2
PHY313345,1
PHY313348,1
PHY313349,1
PHY313353,1
PHY313355,1
PHY313360,1
PHY313362,3
PHY313366,11
PHY313369,13
PHY313370,1
PHY313372,1
PHY313373,1
PHY313374,1
PHY313375,2
PHY313376,2
PHY313381,1
PHY313383,1
PHY313385,1
PHY313386,1
PHY313390,1
PHY313395,1
PHY313397,1
PHY313401,2
PHY313402,1
PHY313403,1
PHY313405,2
PHY313406,2
PHY313407,3
PHY313408,8
PHY313410,3
PHY313418,3
PHY313419,1
PHY313420,1
PHY313421,1
PHY313422,6
PHY313424,1
PHY313426,1
PHY313431,1
PHY313434,1
PHY313436,1
PHY313438,2
PHY313441,1
PHY313442,2
PHY313444,1
PHY313445,1
PHY313448,1
PHY313451,2
PHY313452,1
PHY313454,1
PHY313467,1
PHY313474,3
PHY313476,1
PHY313478,2
PHY313479,6
PHY313480,1
PHY313481,1
PHY313482,12
PHY313484,10
PHY313487,1
PHY313488,2
PHY313491,1
PHY313493,7
PHY313494,2
PHY313496,1
PHY313504,1
PHY313505,1
PHY313513,1
PHY313516,27
PHY313520,2
PHY313523,4
PHY313524,1
PHY313529,20
PHY313532,3
PHY313536,1
PHY313540,1
PHY313541,3
PHY313542,2
PHY313546,1
PHY313547,1
PHY313548,1
PHY313550,2
PHY313551,3
PHY313553,2
PHY313556,1
PHY313560,1
PHY313562,1
PHY313565,6
PHY313566,2
PHY313570,1
PHY313571,1
PHY313572,2
PHY313573,2
PHY313574,7
PHY313575,24
PHY313576,1
PHY313579,2
PHY313580,1
PHY313586,1
PHY313588,1
PHY313596,1
PHY313600,6
PHY313602,1
PHY313603,1
PHY313604,1
PHY313605,1
PHY313606,2
PHY313607,1
PHY313612,2
PHY313613,12
PHY313614,1
PHY313615,6
PHY313617,4
PHY313631,1
PHY313636,2
PHY313637,4
PHY313640,1
PHY313641,2
PHY313643,17
PHY313644,7
PHY313647,2
PHY313650,1
PHY313653,3
PHY313654,7
PHY313659,7
PHY313672,2
PHY313674,2
PHY313676,2
PHY313677,1
PHY313678,3
PHY313682,15
PHY313683,1
PHY313689,1
PHY313696,1
PHY313697,3
PHY313698,5
PHY313699,2
PHY313700,1
PHY313704,4
PHY313705,168
PHY313706,1
PHY313708,1
PHY313709,1
PHY313710,3
PHY313714,2
PHY313715,1
PHY313717,1
PHY313718,1
PHY313719,1
PHY313723,1
PHY313726,5
PHY313727,7
PHY313732,3
PHY313734,1
PHY313736,1
PHY313738,11
PHY313739,1
PHY313740,1
PHY313741,1
PHY313748,1
PHY313749,1
PHY313750,2
PHY313751,5
PHY313752,1
PHY313753,1
PHY313756,27
PHY313757,1
PHY313758,1
PHY313760,46
PHY313762,1
PHY313763,1
PHY313766,1
PHY313770,1
PHY313772,3
PHY313777,3
PHY313778,1
PHY313784,4
PHY313786,1
PHY313792,1
PHY313794,1
PHY313796,5
PHY313805,1
PHY313813,1
PHY313817,2
PHY313818,730
PHY313819,1
PHY313821,3
PHY313829,1
PHY313841,1
PHY313842,1
PHY313843,1
PHY313852,2
PHY313854,2
PHY313860,2
PHY313861,1
PHY313866,6
PHY313869,8
PHY313871,1
PHY313873,1
PHY313875,1
PHY313876,1
PHY313877,123
PHY313879,4
PHY313881,1
PHY313883,2
PHY313886,2
PHY313892,1
PHY313893,1
PHY313896,1
PHY313900,1
PHY313904,6
PHY313906,22
PHY313911,9
PHY313915,1
PHY313916,14
PHY313922,2
PHY313923,5
PHY313926,2
PHY313929,1
PHY313932,1
PHY313935,8
PHY313940,2
PHY313949,1
PHY313951,1
PHY313957,2
PHY313966,1
PHY313968,7
PHY313970,1
PHY313974,2
PHY313975,1
PHY313976,2
PHY313978,2
PHY313982,1
PHY313985,2
PHY313987,2
PHY313991,1
PHY313992,1
PHY313993,1
PHY313994,1
PHY313995,1
PHY313997,1
PHY313998,2
PHY313999,1
PHY314004,2
PHY314005,5
PHY314009,1
PHY314010,1
PHY314011,1
PHY314015,2
PHY314021,1
PHY314022,12
PHY314042,1
PHY314044,1
PHY314047,1
PHY314049,1
PHY314050,1
PHY314052,2
PHY314056,5
PHY314058,1
PHY314060,1
PHY314064,1
PHY314065,1
PHY314067,4
PHY314069,1
PHY314074,3
PHY314081,1
PHY314082,1
PHY314083,1
PHY314084,3
PHY314092,2
PHY314097,2
PHY314103,49
PHY314104,2
PHY314106,1
PHY314113,1
PHY314115,1
PHY314121,1
PHY314122,2
PHY314126,2
PHY314128,1
PHY314134,1
PHY314137,1
PHY314139,9
PHY314140,1
PHY314146,2
PHY314151,2
PHY314152,2
PHY314158,1
PHY314164,2
PHY314165,1
PHY314166,1
PHY314168,18
PHY314172,1
PHY314173,2
PHY314175,1
PHY314179,1
PHY314180,1
PHY314181,1
PHY314185,1
PHY314186,2
PHY314187,3
PHY314188,2
PHY314189,1
PHY314196,2
PHY314198,2
PHY314200,7
PHY314202,3
PHY314205,1
PHY314206,2
PHY314210,4
PHY314213,2
PHY314216,2
PHY314221,6
PHY314226,1
PHY314227,1
PHY314228,1
PHY314231,2
PHY314232,2
PHY314236,19
PHY314237,1
PHY314240,2
PHY314244,1
PHY314248,2
PHY314251,2
PHY314254,6
PHY314255,2
PHY314256,4
PHY314258,1
PHY314259,3
PHY314261,1
PHY314265,3
PHY314267,4
PHY314268,2
PHY314272,1
PHY314276,1
PHY314282,1
PHY314286,1
PHY314290,3
PHY314293,1
PHY314294,1
PHY314298,1
PHY314300,2
PHY314302,1
PHY314305,1
PHY314306,1
PHY314307,4
PHY314308,10
PHY314309,1
PHY314310,1
PHY314311,2
PHY314312,1
PHY314313,1
PHY314314,1
PHY314319,1
PHY314320,40
PHY314322,2
PHY314323,1
PHY314325,1
PHY314328,2
PHY314331,1
PHY314336,1
PHY314338,2
PHY314340,1
PHY314344,1
PHY314348,2
PHY314352,1
PHY314353,1
PHY314354,7
PHY314355,1
PHY314357,1
PHY314360,2
PHY314363,1
PHY314365,2
PHY314367,6
PHY314369,1
PHY314370,1
PHY314371,19
PHY314375,2
PHY314376,1
PHY314378,16
PHY314385,2
PHY314388,1
PHY314392,1
PHY314393,1
PHY314399,1
PHY314401,1
PHY314402,1
PHY314403,1
PHY314404,2
PHY314407,1
PHY314408,33
PHY314411,1
PHY314412,5
PHY314413,1
PHY314416,2
PHY314417,29
PHY314419,1
PHY314423,10
PHY314424,3
PHY314426,1
PHY314430,1
PHY314435,1
PHY314444,2
PHY314445,14
PHY314447,1
PHY314451,2
PHY314452,1
PHY314458,2
PHY314460,1
PHY314462,1
PHY314466,1
PHY314469,7
PHY314472,1
PHY314479,1
PHY314481,1
PHY314482,31
PHY314484,1
PHY314486,1
PHY314488,1
PHY314489,1
PHY314493,1
PHY314496,3
PHY314497,4
PHY314501,1
PHY314504,1
PHY314506,1
PHY314507,10
PHY314508,1
PHY314509,1
PHY314511,2
PHY314512,2
PHY314515,1
PHY314516,1
PHY314527,4
PHY314528,10
PHY314529,10
PHY314530,3
PHY314531,1
PHY314534,2
PHY314540,1
PHY314545,4
PHY314546,34
PHY314549,1
PHY314552,1
PHY314557,1
PHY314559,1
PHY314562,1
PHY314563,2
PHY314568,1
PHY314573,1
PHY314574,1
PHY314578,3
PHY314579,2
PHY314586,4
PHY314587,78
PHY314588,2
PHY314590,1
PHY314592,2
PHY314594,3
PHY314605,2
PHY314610,92
PHY314611,5
PHY314613,1
PHY314614,12
PHY314615,2
PHY314617,3
PHY314618,1
PHY314621,1
PHY314622,1
PHY314625,3
PHY314626,8
PHY314638,1
PHY314643,3
PHY314644,2
PHY314645,1
PHY314654,1
PHY314663,1
PHY314664,4
PHY314666,11
PHY314668,2
PHY314671,1
PHY314676,1
PHY314678,1
PHY314683,1
PHY314685,1
PHY314686,1
PHY314687,2
PHY314688,1
PHY314690,8
PHY314695,2
PHY314697,1
PHY314715,1
PHY314716,3
PHY314719,1
PHY314722,1
PHY314726,1
PHY314729,2
PHY314732,5
PHY314734,1
PHY314736,9
PHY314740,1
PHY314745,1
PHY314747,1
PHY314752,1
PHY314754,1
PHY314756,1
PHY314757,1
PHY314767,1
PHY314770,2
PHY314771,1
PHY314772,1
PHY314773,1
PHY314774,1
PHY314777,1
PHY314788,12
PHY314789,3
PHY314792,3
PHY314796,3
PHY314797,8
PHY314800,1
PHY314803,2
PHY314808,1
PHY314810,2
PHY314811,1
PHY314812,3
PHY314815,3
PHY314816,1
PHY314823,1
PHY314827,1
PHY314830,2
PHY314833,1
PHY314834,2
PHY314841,1
PHY314842,5
PHY314843,2
PHY314844,4
PHY314845,10
PHY314846,1
PHY314849,5
PHY314852,2
PHY314853,44
PHY314865,2
PHY314867,1
PHY314868,4
PHY314869,1
PHY314871,1
PHY314873,1
PHY314874,3
PHY314878,1
PHY314880,54
PHY314883,1
PHY314885,2
PHY314886,1
PHY314887,1
PHY314888,2
PHY314895,8
PHY314900,7
PHY314903,1
PHY314907,1
PHY314908,1
PHY314911,1
PHY314915,3
PHY314916,1
PHY314917,2
PHY314922,1
PHY314929,1
PHY314930,2
PHY314932,1
PHY314934,7
PHY314936,1
PHY314939,1
PHY314945,1
PHY314946,1
PHY314948,3
PHY314949,7
PHY314954,1
PHY314955,1
PHY314956,1
PHY314959,2
PHY314962,3
PHY314964,1
PHY314966,1
PHY314967,1
PHY314971,11
PHY314973,1
PHY314976,1
PHY314977,1
PHY314978,1
PHY314980,1
PHY314982,25
PHY314984,1
PHY314987,1
PHY314994,1
PHY314997,1
PHY314998,1
PHY315006,2
PHY315008,1
PHY315009,1
PHY315012,4
PHY315020,1
PHY315027,1
PHY315028,3
PHY315033,2
PHY315036,19
PHY315045,1
PHY315053,3
PHY315059,3
PHY315067,2
PHY315074,2
PHY315077,1
PHY315078,5
PHY315080,4
PHY315085,2
PHY315088,2
PHY315092,1
PHY315096,1
PHY315102,1
PHY315105,1
PHY315110,1
PHY315113,3
PHY315118,3
PHY315122,1
PHY315123,1
PHY315126,1
PHY315128,1
PHY315131,2
PHY315134,2
PHY315136,1
PHY315138,1
PHY315141,1
PHY315146,2
PHY315148,2
PHY315149,2
PHY315151,1
PHY315157,2
PHY315158,1
PHY315159,1
PHY315160,1
PHY315161,1
PHY315163,1
PHY315166,1
PHY315167,1
PHY315169,2
PHY315170,1
PHY315171,1
PHY315172,1
PHY315177,1
PHY315179,7
PHY315181,1
PHY315188,1
PHY315189,1
PHY315196,1
PHY315202,14
PHY315203,1
PHY315206,1
PHY315207,21
PHY315208,1
PHY315209,3
PHY315210,2
PHY315216,2
PHY315218,1
PHY315219,1
PHY315220,1
PHY315221,1
PHY315229,1
PHY315231,3
PHY315232,1
PHY315233,1
PHY315235,2
PHY315236,2
PHY315238,3
PHY315243,8
PHY315245,1
PHY315246,1
PHY315248,1
PHY315251,1
PHY315254,1
PHY315258,1
PHY315261,1
PHY315266,1
PHY315268,3
PHY315277,1
PHY315280,4
PHY315281,2
PHY315282,2
PHY315286,1
PHY315290,2
PHY315293,7
PHY315296,3
PHY315297,1
PHY315298,2
PHY315305,1
PHY315307,1
PHY315308,1
PHY315309,2
PHY315316,3
PHY315319,1
PHY315320,1
PHY315324,2
PHY315327,1
PHY315328,1
PHY315338,1
PHY315344,363
PHY315346,1
PHY315349,1
PHY315350,1
PHY315352,11
PHY315353,1
PHY315355,1
PHY315357,1
PHY315358,177
PHY315360,2
PHY315361,1
PHY315365,2
PHY315367,2
PHY315369,3
PHY315371,4
PHY315377,1
PHY315378,1
PHY315383,1
PHY315384,4
PHY315385,1
PHY315386,3
PHY315387,1
PHY315390,2
PHY315399,1
PHY315401,1
PHY315405,1
PHY315406,5
PHY315412,1
PHY315413,2
PHY315416,4
PHY315418,1
PHY315421,1
PHY315422,1
PHY315423,2
PHY315424,243
PHY315428,18
PHY315429,3
PHY315434,5
PHY315435,10
PHY315436,47
PHY315437,1
PHY315440,1
PHY315442,7
PHY315443,2
PHY315445,1
PHY315449,4
PHY315452,1
PHY315455,1
PHY315456,1
PHY315459,1
PHY315460,1
PHY315461,25
PHY315462,9
PHY315465,4
PHY315467,5
PHY315468,4
PHY315469,1
PHY315478,1
PHY315479,1
PHY315482,1
PHY315483,1
PHY315489,2
PHY315496,1
PHY315498,2
PHY315499,3
PHY315508,3
PHY315511,3
PHY315512,6
PHY315514,1
PHY315517,1
PHY315518,1
PHY315521,1
PHY315522,1
PHY315532,1
PHY315535,2
PHY315536,1
PHY315537,3
PHY315538,1
PHY315540,1
PHY315549,1
PHY315550,1
PHY315551,1
PHY315554,1
PHY315557,1
PHY315558,1
PHY315563,1
PHY315567,1
PHY315568,1
PHY315569,3
PHY315570,3
PHY315573,1
PHY315575,5
PHY315576,23
PHY315582,1
PHY315583,2
PHY315584,1
PHY315588,2
PHY315589,1
PHY315592,1
PHY315594,1
PHY315595,7
PHY315597,1
PHY315598,1
PHY315601,1
PHY315603,1
PHY315604,3
PHY315606,1
PHY315607,1
PHY315608,1
PHY315610,2
PHY315611,1
PHY315612,3
PHY315624,1
PHY315625,11
PHY315630,2
PHY315634,3
PHY315636,1
PHY315645,1
PHY315646,1
PHY315651,1
PHY315655,4
PHY315657,2
